run 0: 0.001901 sec, result=1000000.000000
run 1: 0.001759 sec, result=1000000.000000
run 2: 0.000816 sec, result=1000000.000000
run 3: 0.000703 sec, result=1000000.000000
run 4: 0.000667 sec, result=1000000.000000
run 5: 0.000832 sec, result=1000000.000000
run 6: 0.000992 sec, result=1000000.000000
run 7: 0.000856 sec, result=1000000.000000
run 8: 0.001070 sec, result=1000000.000000
run 9: 0.001099 sec, result=1000000.000000
run 10: 0.000769 sec, result=1000000.000000
run 11: 0.002084 sec, result=1000000.000000
run 12: 0.001164 sec, result=1000000.000000
run 13: 0.000798 sec, result=1000000.000000
run 14: 0.001699 sec, result=1000000.000000
run 15: 0.001828 sec, result=1000000.000000
run 16: 0.001779 sec, result=1000000.000000
run 17: 0.002008 sec, result=1000000.000000
run 18: 0.002372 sec, result=1000000.000000
run 19: 0.001905 sec, result=1000000.000000
run 20: 0.001548 sec, result=1000000.000000
run 21: 0.002232 sec, result=1000000.000000
run 22: 0.001871 sec, result=1000000.000000
run 23: 0.001964 sec, result=1000000.000000
run 24: 0.001709 sec, result=1000000.000000
run 25: 0.001900 sec, result=1000000.000000
run 26: 0.001710 sec, result=1000000.000000
run 27: 0.001600 sec, result=1000000.000000
run 28: 0.001313 sec, result=1000000.000000
run 29: 0.001425 sec, result=1000000.000000
run 30: 0.001330 sec, result=1000000.000000
run 31: 0.001520 sec, result=1000000.000000
run 32: 0.001405 sec, result=1000000.000000
run 33: 0.001319 sec, result=1000000.000000
run 34: 0.001631 sec, result=1000000.000000
run 35: 0.001685 sec, result=1000000.000000
run 36: 0.002017 sec, result=1000000.000000
run 37: 0.001707 sec, result=1000000.000000
run 38: 0.001685 sec, result=1000000.000000
run 39: 0.001173 sec, result=1000000.000000
run 40: 0.001329 sec, result=1000000.000000
run 41: 0.001527 sec, result=1000000.000000
run 42: 0.001681 sec, result=1000000.000000
run 43: 0.001681 sec, result=1000000.000000
run 44: 0.001403 sec, result=1000000.000000
run 45: 0.001083 sec, result=1000000.000000
run 46: 0.001414 sec, result=1000000.000000
run 47: 0.000867 sec, result=1000000.000000
run 48: 0.000821 sec, result=1000000.000000
run 49: 0.000791 sec, result=1000000.000000
run 50: 0.000841 sec, result=1000000.000000
run 51: 0.001275 sec, result=1000000.000000
run 52: 0.002186 sec, result=1000000.000000
run 53: 0.001741 sec, result=1000000.000000
run 54: 0.001817 sec, result=1000000.000000
run 55: 0.002569 sec, result=1000000.000000
run 56: 0.001435 sec, result=1000000.000000
run 57: 0.001113 sec, result=1000000.000000
run 58: 0.001097 sec, result=1000000.000000
run 59: 0.001019 sec, result=1000000.000000
run 60: 0.000939 sec, result=1000000.000000
run 61: 0.000832 sec, result=1000000.000000
run 62: 0.000863 sec, result=1000000.000000
run 63: 0.000895 sec, result=1000000.000000
run 64: 0.000941 sec, result=1000000.000000
run 65: 0.000902 sec, result=1000000.000000
run 66: 0.000897 sec, result=1000000.000000
run 67: 0.000723 sec, result=1000000.000000
run 68: 0.001398 sec, result=1000000.000000
run 69: 0.001078 sec, result=1000000.000000
run 70: 0.001138 sec, result=1000000.000000
run 71: 0.001030 sec, result=1000000.000000
run 72: 0.001004 sec, result=1000000.000000
run 73: 0.000891 sec, result=1000000.000000
run 74: 0.000724 sec, result=1000000.000000
run 75: 0.000920 sec, result=1000000.000000
run 76: 0.000778 sec, result=1000000.000000
run 77: 0.000780 sec, result=1000000.000000
run 78: 0.000756 sec, result=1000000.000000
run 79: 0.000637 sec, result=1000000.000000
run 80: 0.000905 sec, result=1000000.000000
run 81: 0.000802 sec, result=1000000.000000
run 82: 0.000953 sec, result=1000000.000000
run 83: 0.000743 sec, result=1000000.000000
run 84: 0.000599 sec, result=1000000.000000
run 85: 0.000581 sec, result=1000000.000000
run 86: 0.000584 sec, result=1000000.000000
run 87: 0.000759 sec, result=1000000.000000
run 88: 0.000895 sec, result=1000000.000000
run 89: 0.001008 sec, result=1000000.000000
run 90: 0.000659 sec, result=1000000.000000
run 91: 0.000632 sec, result=1000000.000000
run 92: 0.000617 sec, result=1000000.000000
run 93: 0.000623 sec, result=1000000.000000
run 94: 0.000616 sec, result=1000000.000000
run 95: 0.000717 sec, result=1000000.000000
run 96: 0.001026 sec, result=1000000.000000
run 97: 0.000812 sec, result=1000000.000000
run 98: 0.000905 sec, result=1000000.000000
run 99: 0.000656 sec, result=1000000.000000
run 100: 0.000605 sec, result=1000000.000000
run 101: 0.000600 sec, result=1000000.000000
run 102: 0.000595 sec, result=1000000.000000
run 103: 0.000610 sec, result=1000000.000000
run 104: 0.000637 sec, result=1000000.000000
run 105: 0.000611 sec, result=1000000.000000
run 106: 0.000620 sec, result=1000000.000000
run 107: 0.000616 sec, result=1000000.000000
run 108: 0.000599 sec, result=1000000.000000
run 109: 0.000609 sec, result=1000000.000000
run 110: 0.000628 sec, result=1000000.000000
run 111: 0.000986 sec, result=1000000.000000
run 112: 0.001260 sec, result=1000000.000000
run 113: 0.000659 sec, result=1000000.000000
run 114: 0.000706 sec, result=1000000.000000
run 115: 0.000932 sec, result=1000000.000000
run 116: 0.001279 sec, result=1000000.000000
run 117: 0.001346 sec, result=1000000.000000
run 118: 0.000894 sec, result=1000000.000000
run 119: 0.001043 sec, result=1000000.000000
run 120: 0.000875 sec, result=1000000.000000
run 121: 0.000891 sec, result=1000000.000000
run 122: 0.001067 sec, result=1000000.000000
run 123: 0.001078 sec, result=1000000.000000
run 124: 0.000862 sec, result=1000000.000000
run 125: 0.000973 sec, result=1000000.000000
run 126: 0.000650 sec, result=1000000.000000
run 127: 0.000601 sec, result=1000000.000000
run 128: 0.000694 sec, result=1000000.000000
run 129: 0.000942 sec, result=1000000.000000
run 130: 0.001142 sec, result=1000000.000000
run 131: 0.000729 sec, result=1000000.000000
run 132: 0.000740 sec, result=1000000.000000
run 133: 0.001160 sec, result=1000000.000000
run 134: 0.001172 sec, result=1000000.000000
run 135: 0.000988 sec, result=1000000.000000
run 136: 0.001238 sec, result=1000000.000000
run 137: 0.001285 sec, result=1000000.000000
run 138: 0.001073 sec, result=1000000.000000
run 139: 0.000895 sec, result=1000000.000000
run 140: 0.000833 sec, result=1000000.000000
run 141: 0.000913 sec, result=1000000.000000
run 142: 0.001002 sec, result=1000000.000000
run 143: 0.000996 sec, result=1000000.000000
run 144: 0.000785 sec, result=1000000.000000
run 145: 0.001420 sec, result=1000000.000000
run 146: 0.001211 sec, result=1000000.000000
run 147: 0.001156 sec, result=1000000.000000
run 148: 0.001142 sec, result=1000000.000000
run 149: 0.001058 sec, result=1000000.000000
run 150: 0.001042 sec, result=1000000.000000
run 151: 0.001153 sec, result=1000000.000000
run 152: 0.001035 sec, result=1000000.000000
run 153: 0.000946 sec, result=1000000.000000
run 154: 0.001006 sec, result=1000000.000000
run 155: 0.000895 sec, result=1000000.000000
run 156: 0.001124 sec, result=1000000.000000
run 157: 0.000920 sec, result=1000000.000000
run 158: 0.001081 sec, result=1000000.000000
run 159: 0.000668 sec, result=1000000.000000
run 160: 0.000627 sec, result=1000000.000000
run 161: 0.000751 sec, result=1000000.000000
run 162: 0.001268 sec, result=1000000.000000
run 163: 0.001186 sec, result=1000000.000000
run 164: 0.000686 sec, result=1000000.000000
run 165: 0.000659 sec, result=1000000.000000
run 166: 0.000619 sec, result=1000000.000000
run 167: 0.000600 sec, result=1000000.000000
run 168: 0.000598 sec, result=1000000.000000
run 169: 0.000670 sec, result=1000000.000000
run 170: 0.000622 sec, result=1000000.000000
run 171: 0.000629 sec, result=1000000.000000
run 172: 0.000641 sec, result=1000000.000000
run 173: 0.000615 sec, result=1000000.000000
run 174: 0.000612 sec, result=1000000.000000
run 175: 0.000629 sec, result=1000000.000000
run 176: 0.000639 sec, result=1000000.000000
run 177: 0.000610 sec, result=1000000.000000
run 178: 0.000887 sec, result=1000000.000000
run 179: 0.001046 sec, result=1000000.000000
run 180: 0.001027 sec, result=1000000.000000
run 181: 0.000855 sec, result=1000000.000000
run 182: 0.000613 sec, result=1000000.000000
run 183: 0.000616 sec, result=1000000.000000
run 184: 0.000909 sec, result=1000000.000000
run 185: 0.001435 sec, result=1000000.000000
run 186: 0.000705 sec, result=1000000.000000
run 187: 0.000692 sec, result=1000000.000000
run 188: 0.000645 sec, result=1000000.000000
run 189: 0.000622 sec, result=1000000.000000
run 190: 0.000653 sec, result=1000000.000000
run 191: 0.000647 sec, result=1000000.000000
run 192: 0.000644 sec, result=1000000.000000
run 193: 0.000643 sec, result=1000000.000000
run 194: 0.001062 sec, result=1000000.000000
run 195: 0.001283 sec, result=1000000.000000
run 196: 0.001505 sec, result=1000000.000000
run 197: 0.000865 sec, result=1000000.000000
run 198: 0.000632 sec, result=1000000.000000
run 199: 0.000645 sec, result=1000000.000000
run 200: 0.000680 sec, result=1000000.000000
run 201: 0.000680 sec, result=1000000.000000
run 202: 0.000677 sec, result=1000000.000000
run 203: 0.000995 sec, result=1000000.000000
run 204: 0.001568 sec, result=1000000.000000
run 205: 0.002955 sec, result=1000000.000000
run 206: 0.003129 sec, result=1000000.000000
run 207: 0.001464 sec, result=1000000.000000
run 208: 0.002155 sec, result=1000000.000000
run 209: 0.002208 sec, result=1000000.000000
run 210: 0.002575 sec, result=1000000.000000
run 211: 0.002231 sec, result=1000000.000000
run 212: 0.002766 sec, result=1000000.000000
run 213: 0.002506 sec, result=1000000.000000
run 214: 0.002784 sec, result=1000000.000000
run 215: 0.002662 sec, result=1000000.000000
run 216: 0.002523 sec, result=1000000.000000
run 217: 0.001977 sec, result=1000000.000000
run 218: 0.002115 sec, result=1000000.000000
run 219: 0.002309 sec, result=1000000.000000
run 220: 0.002216 sec, result=1000000.000000
run 221: 0.001336 sec, result=1000000.000000
run 222: 0.001066 sec, result=1000000.000000
run 223: 0.000767 sec, result=1000000.000000
run 224: 0.001073 sec, result=1000000.000000
run 225: 0.000771 sec, result=1000000.000000
run 226: 0.000978 sec, result=1000000.000000
run 227: 0.000693 sec, result=1000000.000000
run 228: 0.000590 sec, result=1000000.000000
run 229: 0.000591 sec, result=1000000.000000
run 230: 0.000592 sec, result=1000000.000000
run 231: 0.000571 sec, result=1000000.000000
run 232: 0.000632 sec, result=1000000.000000
run 233: 0.001012 sec, result=1000000.000000
run 234: 0.001250 sec, result=1000000.000000
run 235: 0.000664 sec, result=1000000.000000
run 236: 0.000613 sec, result=1000000.000000
