run 0: 0.076199 sec, result=300000000.000000
run 1: 0.053306 sec, result=300000000.000000
run 2: 0.053739 sec, result=300000000.000000
run 3: 0.053054 sec, result=300000000.000000
run 4: 0.053289 sec, result=300000000.000000
run 5: 0.053032 sec, result=300000000.000000
run 6: 0.053641 sec, result=300000000.000000
run 7: 0.054284 sec, result=300000000.000000
run 8: 0.056626 sec, result=300000000.000000
run 9: 0.055074 sec, result=300000000.000000
run 10: 0.055474 sec, result=300000000.000000
run 11: 0.053799 sec, result=300000000.000000
run 12: 0.054596 sec, result=300000000.000000
run 13: 0.053394 sec, result=300000000.000000
run 14: 0.053437 sec, result=300000000.000000
run 15: 0.053749 sec, result=300000000.000000
run 16: 0.054654 sec, result=300000000.000000
run 17: 0.054183 sec, result=300000000.000000
run 18: 0.054899 sec, result=300000000.000000
run 19: 0.053505 sec, result=300000000.000000

N: 300000000 <T>: 0.054169 sec  <B>: 41.262987 GB/sec  <F>: 11.076449 GFLOP/sec
